drug name,PDOD score
20_19,-0.11285015040274979
20_18,-0.2600196559664431
18_4,-0.129311137791241
18_3,-0.1703562251816979
20_14,-0.10141865575057157
18_7,-0.15734774641471005
18_14,-0.14933996313544223
18_10,-0.1705287301125507
18_1,-0.18038911985733716
18_2,-0.2254703014423626
18_17,-0.13838246764827222
18_13,-0.12740942016760046
18_5,-0.14981802547699166
18_11,-0.18406198014402572
18_9,-0.16235036142231218
18_15,-0.2058266192492615
18_12,-0.11664620264456926
18_0,-0.1572343453889005
18_8,-0.18836613412288233
18_18,-0.20994155543842483
18_19,-0.17381378127156627
21_8,-0.15392902260056954
21_11,-0.22350060842999517
18_16,-0.13890799013083427
21_9,-0.14551102407018135
21_3,-0.18979861832536246
21_0,-0.2738398465676186
21_4,-0.11501468105721256
21_6,-0.23661226352190723
21_7,-0.268544905741707
21_12,-0.18283182989711505
21_1,-0.10733082394477367
21_16,-0.09924302150612711
21_5,-0.34434567012059236
21_2,-0.17063480400871123
21_15,-0.24677588889527027
21_14,-0.22097752370483642
21_13,-0.2685309455189434
21_10,-0.2664073866725648
21_19,-0.2954964531239361
21_17,-0.19485393270450937
21_18,-0.2191871206751327
23_8,-0.1551218377354677
23_3,-0.1387544906745697
24_1,-0.3224156899019001
23_1,-0.09723652904707075
24_2,-0.26182449183841855
24_0,-0.13636693225031518
23_5,-0.2866526673563402
22_3,-0.2773827394141046
23_7,-0.17888401385508168
23_11,-0.17879844662118038
24_4,-0.1967096770329546
24_3,-0.1543735548838146
22_8,-0.18524328054978875
24_6,-0.31798285690437283
23_10,-0.2140913033423288
23_6,-0.22378551028448146
24_9,0.005661233692149484
23_9,-0.11464241535791407
24_5,-0.3382535793732626
23_15,-0.21938927466123884
22_2,-0.18014720157038117
24_8,-0.26878752212598
24_7,-0.23086106268381282
23_0,-0.2377160216407095
23_2,-0.13438303152201983
23_4,-0.09519111470596855
22_7,-0.232658779801667
23_13,-0.1972428050696735
24_10,-0.1925826179102097
22_0,-0.223115421136624
23_12,-0.18929593430780978
24_14,-0.20090947263403805
22_9,-0.3119315278727896
22_1,-0.1916940976554649
22_13,-0.2188494757778892
22_5,-0.3014089483190569
24_13,-0.06612356279602279
22_14,-0.22780325744404956
24_15,-0.2316469880170912
22_17,-0.26858659993074513
22_4,-0.17051298842739174
22_6,-0.12596622743394623
25_2,-0.15811203464485882
23_18,-0.16782157102207235
22_12,-0.18702709344740148
25_3,-0.11188684844716901
24_11,-0.09946577398746366
24_19,-0.16564878959504475
25_0,-0.1271280061434123
22_16,-0.150329644851856
24_17,-0.2770887190767196
22_18,-0.20388062900557144
24_16,-0.0964183453906951
24_12,-0.25069888276688895
25_6,-0.177284576968584
24_18,-0.32146075246553224
25_7,-0.03969766116969323
23_16,-0.12169513189797282
23_17,-0.16195965102421042
23_19,-0.23175286262739445
25_17,-0.10203128714605414
25_1,-0.035425159240142244
22_10,-0.1719068847368505
25_8,-0.0512298184136271
25_15,-0.08100252051020078
23_14,-0.21351106691238145
25_13,-0.1038013839949644
25_10,-0.14476278072136325
25_19,-0.05068496914921235
25_16,0.04691299154415173
22_19,-0.10644755185433895
25_9,-0.12687441604695085
25_11,-0.017729700925350707
25_14,-0.06203914143141763
25_18,-0.21589238619263953
22_15,-0.21514221889821808
25_5,-0.09051496196851659
22_11,-0.20531167370252804
25_4,-0.13612977276438265
25_12,-0.12627962240283402
26_7,-0.008467411669413909
26_2,-0.13479846894175548
26_4,-0.007555453905861226
26_0,-0.19850679121306228
26_10,-0.019856049039114036
26_1,-0.18203520458504147
26_5,-0.19105100967003125
26_9,-0.12154649503778608
26_6,-0.1830870347548821
26_11,-0.1352190345117603
26_13,-0.23998649368805183
26_3,-0.15942146077796107
26_8,-0.12214726469312363
26_16,-0.10129553795840869
26_17,-0.22084654901673123
26_19,-0.19321171122482944
26_14,-0.14814656079361235
27_0,-0.24710498434399283
26_18,-0.12212066180741395
27_3,-0.3175430797468871
26_15,-0.10972643809700731
27_6,-0.13874731472822818
26_12,-0.143726919150368
27_2,-0.20136990052237602
27_7,-0.34538276667273604
27_1,-0.20659288941698242
27_10,-0.1508329457001716
27_11,-0.10998943551307884
27_12,-0.14435333309735068
27_9,-0.22420840140322287
27_16,-0.18740766959865018
27_14,-0.08118367663857279
27_4,-0.1239904876533295
27_5,-0.2505805196508676
27_18,-0.2334510323410924
27_8,-0.23764628496520374
27_17,-0.09535318548314202
28_5,-0.09345121278171829
28_0,-0.14964321548444384
27_15,-0.18274524282349955
27_19,-0.2603611669462335
27_13,-0.1549685723136913
28_4,-0.11291283096731465
28_10,-0.1989645156866342
28_7,-0.11725545275132172
28_8,-0.20436933010382938
28_3,-0.1512922816969816
28_17,-0.22341371757833067
28_11,-0.058968352210782476
28_2,-0.16263433264870825
28_12,-0.17737695932558575
28_6,-0.207373014287982
28_1,-0.047848451709340475
28_14,-0.18408848733478195
28_9,-0.165724600182568
28_13,-0.1709294626117792
28_16,-0.2217354521341038
29_1,-0.25124071961753
29_3,-0.3475813679630068
29_0,-0.2346079276658463
29_5,-0.24970193532113935
28_18,-0.11380153446459297
29_6,-0.16674886603448874
29_8,-0.28407373493142946
29_13,-0.12307521264710318
28_15,-0.1955765798073304
29_16,-0.1262564668316241
29_11,-0.1841148265221313
29_9,-0.2533995036467396
28_19,-0.15836968746935087
29_10,0.00267579422092303
29_14,-0.09576907875115827
29_17,-0.20423601138121286
29_2,-0.1764468979744425
29_12,-0.18864471653166734
29_4,-0.14563514963029034
29_15,-0.2247040023464891
29_18,-0.24516772185354638
29_7,-0.31959286755175426
29_19,-0.22911185885106347
30_0,-0.17870201498223307
30_5,-0.0608421469766604
30_8,-0.23293308725811562
30_7,-0.23568701790788726
30_6,-0.1183488197845687
30_3,-0.13920266653892147
30_12,-0.16804621431465402
31_0,-0.22759380040883873
30_16,-0.13424936395554407
30_13,-0.12757079280645345
30_4,-0.07533044814089027
30_2,-0.0983238103151185
30_1,-0.2724644335944802
31_2,-0.17683486044563865
30_14,-0.07787804435082835
31_4,-0.10416621970717438
30_19,-0.10823448334137302
31_6,-0.22556869458855497
30_17,-0.11256958691342998
30_11,-0.20831040216512545
30_15,-0.14077154677751763
30_9,-0.15543874576558347
31_1,-0.16691138574893258
30_10,-0.22733123394785454
31_9,-0.07906043282028286
31_5,-0.1938715258418012
32_0,-0.10806067328020358
30_18,-0.20142306719686798
31_19,-0.09274510743382604
31_8,-0.09865638847060286
31_14,-0.17013379538944984
31_11,-0.04777032537924079
31_7,-0.12430966079612683
31_17,-0.16002747630312666
31_3,-0.05201694272905349
31_15,-0.047487905043635946
31_10,-0.12086459560971043
31_13,-0.13943025942710863
32_12,-0.028071030926125305
32_2,-0.07490693303108124
32_5,-0.12120849516848292
32_3,-0.046122256315074855
31_12,-0.08391548059064877
32_11,-0.08246995459795095
32_18,-0.04386039886039885
32_7,-0.06604883846976912
32_4,-0.07775732499284206
32_13,-0.0210493131658442
32_14,-0.05932270925917871
31_16,-0.17038299611225713
32_6,-0.059494255359580576
31_18,-0.05399321906922327
32_15,-0.0566802089571631
32_9,0.01375867673994053
32_19,-0.04557728094214474
32_10,-0.1359354657436114
32_8,-0.09590606154310966
32_1,-0.16612668198085895
32_17,-0.17263656284180262
32_16,-0.04885142412977325
33_1,-0.047848451709340475
33_2,-0.16263433264870825
33_0,-0.14964321548444384
33_8,-0.20436933010382938
33_5,-0.09345121278171829
33_3,-0.1512922816969816
33_11,-0.058968352210782476
33_7,-0.11725545275132172
33_12,-0.17737695932558575
33_6,-0.207373014287982
33_9,-0.165724600182568
33_10,-0.1989645156866342
33_4,-0.11291283096731465
33_16,-0.2217354521341038
33_15,-0.1955765798073304
33_13,-0.1709294626117792
33_17,-0.22341371757833067
33_19,-0.15836968746935087
33_14,-0.18408848733478195
33_18,-0.11380153446459297
35_0,-0.2555805720892093
35_3,-0.3191480248057263
35_9,-0.23506451230724887
35_6,-0.15150998976012417
35_8,-0.2085249989278244
35_2,-0.22335336361943176
35_7,-0.3301494230537963
35_1,-0.20418621454629077
35_10,-0.1470180160377021
35_13,-0.15925289231607156
35_4,-0.1308201217846966
35_15,-0.19306803739414974
35_11,-0.09374231165093504
35_5,-0.273123407162936
35_18,-0.2526841363682318
35_14,-0.06157951623884587
35_19,-0.2650916597735692
35_16,-0.180207297552439
35_17,-0.11023893256935412
35_12,-0.17853584174350431
36_3,-0.15395509647599817
37_4,-0.09332240323069275
36_1,-0.0918042670281984
36_4,-0.08072498904991783
36_0,-0.15487959899377068
36_14,-0.1884761445598068
36_16,-0.08866746252849422
36_7,-0.14930285176970587
36_12,-0.1955127677655688
37_2,-0.14572811181163517
37_3,-0.1891288800965764
36_19,-0.12396309071324897
36_2,-0.0598096997567598
36_6,-0.2002894307824421
37_8,-0.10858405199778733
36_17,-0.13679317147880965
36_9,-0.0923887158544986
36_5,-0.20096993003837899
36_8,-0.14547451620369742
36_11,-0.17563423679633347
36_18,-0.1699977879742306
36_15,-0.16200407413485163
36_10,-0.1391498545365399
36_13,-0.14328858344289624
37_1,-0.11846496216032941
37_5,-0.1967388655819573
37_9,-0.16700975964696038
37_0,-0.08983408352171576
37_11,-0.0714970235167405
37_13,-0.10243147335316308
37_6,-0.0988355022465797
37_7,-0.1458928181132605
37_10,-0.15395771562651442
37_12,-0.11368586406497196
37_15,-0.09313146784697038
37_14,-0.07960648208376375
37_16,-0.09635380699520205
38_3,-0.35036897761640046
38_6,-0.15623317242197332
38_4,-0.08090736474902617
38_1,-0.2110600649899061
38_10,0.003725206589976809
38_0,-0.2254389655833011
38_2,-0.1996788155347426
38_5,-0.23862832981555596
38_16,-0.13309919438737136
38_8,-0.29405959932759235
38_7,-0.31959286755175426
38_9,-0.24116343957516412
38_11,-0.19393635228656206
39_0,-0.30054273292291095
38_17,-0.20328632957579612
38_12,-0.1787741724733422
38_14,-0.11899569045086617
38_13,-0.13125863942200086
37_17,-0.1182472022796823
39_6,-0.09876423242639457
39_1,-0.28320198292202836
39_4,-0.17217866226094095
37_18,-0.16432353797482493
38_19,-0.2633950496932047
38_18,-0.18962196480716123
38_15,-0.2302570369095359
37_19,-0.11991182473421615
39_5,-0.05084466600225123
39_9,-0.26076313949919744
39_8,-0.23370657400622247
39_3,-0.34045256416083086
39_7,-0.1508986694633101
39_2,-0.2309177633483281
39_10,-0.3635492290644649
39_14,-0.27861566011982847
39_12,-0.29816225541152525
39_15,-0.28716066637348076
39_11,-0.2853695715680581
39_16,-0.07540420094380541
39_13,-0.31292066019060816
40_0,-0.1287189353115195
40_10,-0.20503146427569555
39_18,-0.18811997473945216
40_4,-0.18780407935860916
39_17,-0.1863028309012284
34_3,-0.21463638038766947
40_1,-0.33468066971782784
40_2,-0.26727398040140427
40_3,-0.1481344147119098
40_6,-0.31735103590850233
39_19,-0.19019832030011719
40_8,-0.2765576667060786
34_0,-0.2461324328799199
40_14,-0.20176017346821015
40_5,-0.33949657761847696
40_7,-0.24233807791704218
40_9,0.0034893512070838543
40_15,-0.25135532238060493
40_12,-0.24722537056950733
40_11,-0.08150713885754762
40_16,-0.08774998616588804
34_17,-0.21846070584691174
40_18,-0.32079383030322456
40_13,-0.07234522071870812
40_17,-0.267751239038038
40_19,-0.14359414685568975
41_3,-0.19142439863860902
41_8,-0.293089374015191
34_4,-0.20169662646617237
41_9,0.029810017827460317
41_2,-0.27794971800607804
41_0,-0.13808010311082644
41_6,-0.34254375251099145
41_4,-0.19782090403911873
41_5,-0.3392926439096963
34_10,-0.20430816054058695
34_16,-0.17765985531076903
41_10,-0.2141410824573713
41_1,-0.3248862876417004
41_14,-0.2133728462964105
41_7,-0.24658012462848072
41_11,-0.09857597105707126
41_13,-0.07790000830157764
41_12,-0.23720291582787792
34_6,-0.17394468210664168
41_18,-0.3292123005730365
41_15,-0.23692404758423352
34_7,-0.14740722483534402
41_17,-0.3053201380506952
41_19,-0.15611608396176863
34_19,-0.2044136276986531
41_16,-0.08933271106202036
34_5,-0.1980930638034787
34_1,-0.11854000323948202
34_14,-0.16122166985538114
34_2,-0.20841916077570946
34_9,-0.19149743678277725
34_12,-0.20544013471532777
34_8,-0.21411110692807817
34_13,-0.20873427092813215
34_11,-0.20276584666403444
34_15,-0.22788847876593324
34_18,-0.13481735962276806
44_1,-0.10176248135287981
43_3,-0.2503878015892635
44_2,-0.2030982404520484
44_0,-0.10960208940400235
44_5,-0.1950918043304224
44_4,-0.13477828704561087
44_3,-0.12217504962694589
44_7,-0.1988040232247142
43_8,-0.19925402932661143
43_9,-0.21907464954563116
43_5,-0.23023454430370785
43_2,-0.14806632131716427
43_4,-0.230582706325938
44_11,-0.1589654831729837
43_7,-0.16098380008204713
44_10,-0.10440783267602903
43_11,-0.16737335628471584
44_6,-0.2065591019062545
43_13,-0.2109182023161788
44_9,-0.18852258848056347
43_16,-0.20809144663223889
44_8,-0.23563065203194863
43_12,-0.21864736377501068
43_6,-0.2702736339373351
43_15,-0.1705017194007516
43_14,-0.24494485010068642
43_17,-0.1755804692621675
43_1,-0.23646784160556836
43_18,-0.22471917944979006
44_12,-0.1917144676337158
43_10,-0.32147088902717796
44_13,-0.1847379660282661
43_19,-0.22908228921854512
44_14,-0.16352480164018734
43_0,-0.3117902186808821
44_16,-0.14332713252815923
44_17,-0.204234292971772
44_15,-0.1590419239628451
44_18,-0.12103373213492527
44_19,-0.15068317208859072
45_7,-0.18364735334577828
45_3,-0.21315735715521247
45_8,-0.12904761643058926
45_1,-0.13146470034064942
45_2,-0.18007090139388032
45_12,-0.12710428527781265
45_13,-0.17984285760850227
45_0,-0.20293943706709955
45_14,-0.17945942679151367
46_2,-0.2106217723225045
45_6,-0.09551750920904692
45_5,-0.2488476567263342
45_11,-0.1915953916526461
45_10,-0.12312337001946272
45_16,-0.1490733175814687
45_9,-0.30970223162323973
45_19,-0.08113633113883094
45_17,-0.23281779677611195
46_1,-0.1343195883532126
45_4,-0.16140424095659633
46_11,-0.16756372485754195
46_3,-0.19090128506105897
46_6,-0.12026753911873658
46_10,-0.13451172701353353
45_15,-0.14600214177675272
45_18,-0.17057413034967095
46_5,-0.2335005078159922
46_8,-0.16230472085672693
46_4,-0.202375460829844
47_3,-0.06360613571220175
47_5,-0.10408723441041835
46_0,-0.23478590200620233
47_0,-0.2848097167787392
47_1,-0.12902297767779677
47_2,-0.049058955844182746
47_6,-0.20725639681469807
42_13,-0.1709585061858575
47_10,-0.2751839379171391
46_7,-0.21174066549638634
47_7,-0.16239999790978335
47_4,-0.07330818387134755
47_13,-0.018513346042473646
47_15,-0.08952170278146969
47_19,-0.14299505335140317
47_8,-0.18454697480169766
46_12,-0.16007483642737197
46_13,-0.17714245295922776
47_12,-0.2738938402165131
47_14,-0.13146359430245833
47_11,-0.21778846781555367
46_9,-0.26709219990121824
46_14,-0.17891262730887408
42_2,-0.15138017292805725
47_16,-0.14599890204157204
47_9,-0.24602579066805283
47_18,-0.16874352570732287
42_6,-0.21926527501771806
42_1,-0.14990944034719747
47_17,-0.158239014979713
42_15,-0.1661420233381644
42_11,-0.19893856948857805
42_5,-0.1861493949197358
42_4,-0.18797476663040993
42_3,-0.18770382521875512
46_16,-0.1655893664231745
42_10,-0.17432181058354826
48_1,-0.0955240834680723
46_15,-0.19138481731180032
48_11,-0.08812099442761107
42_8,-0.19646186365378077
48_2,-0.1202422963511155
48_5,-0.18734213126089277
42_19,-0.1606535125026469
48_0,-0.0981495882491997
48_16,-0.12499478490336574
48_4,-0.08698267732136486
42_0,-0.18353553641088183
42_16,-0.17680608867382258
48_18,-0.03496150731668631
48_6,-0.12151596709269824
42_9,-0.19904393141272564
48_12,-0.1666036992835782
42_14,-0.23547786956628708
48_13,-0.13286184044173255
48_17,-0.1461788803111337
48_3,-0.1208078209325248
48_8,-0.1783430772209488
42_7,-0.143591751999037
48_9,-0.08730536446821978
48_14,-0.14451247474451512
48_10,-0.1373793879021232
48_7,-0.1803455845656419
48_19,-0.20711226287587844
42_12,-0.13597284809749544
42_18,-0.16029355247370505
46_17,-0.1962668565610402
46_18,-0.163672316359299
48_15,-0.11700792946410923
42_17,-0.1417902372343883
46_19,-0.07337276912793378
50_3,-0.20592277742864754
50_0,-0.2845594263183812
50_5,-0.09530353274784585
50_8,-0.1507650418630912
50_9,-0.12645354469200124
50_13,-0.11077886790835056
50_1,-0.16808787454197674
50_2,-0.13362500640838593
50_6,-0.3678245031387928
50_12,-0.22840431187661817
50_4,-0.18490103523783713
50_10,-0.1561949854467979
50_14,-0.2683634404253018
50_18,-0.201799155560372
50_15,-0.27199188259466184
50_19,-0.16935098232694412
50_11,-0.25553299351121583
50_7,-0.22130822648886314
50_17,-0.18158686551131875
50_16,-0.11272960619742999
52_8,-0.2271383169481411
